application_id,gender,age,region,education,employment_type,employment_years,income_monthly,loan_amount,loan_term_months,loan_purpose,interest_rate,emi,emi_to_income,bureau_score,credit_utilization,num_credit_lines,num_inquiries_6m,num_delinquencies_2y,months_since_last_delinq,oldest_account_months,revolving_balance,total_debt,debt_to_income,app_logins_30d,avg_txn_value,num_bounced_payments,default
LN201430,Female,46,Tier-2,Diploma,Self-Employed,8.1,28496.0,177360.0,36,Home-Improvement,15.76,6214.0,0.218,717.0,0.252,1,1,1,18.0,83.0,62058.0,140078.0,0.41,19.0,,1,0
LN205118,Male,51,Tier-2,Diploma,Salaried,0.8,26543.0,125773.0,36,Home-Improvement,18.8,4598.0,0.173,665.0,0.442,12,0,1,9.0,131.0,398080.0,465469.0,1.461,15.0,370.0,2,0
LN210458,Male,47,Metro,Post-Graduate,Salaried,8.2,97383.0,345999.0,12,Business,14.24,31105.0,0.319,798.0,0.319,5,3,2,6.0,64.0,62473.0,266688.0,0.228,15.0,3303.0,0,0
LN204604,Female,48,Tier-3,Graduate,Contract,1.9,17956.0,134284.0,36,Education,16.87,4779.0,0.266,657.0,0.373,4,3,3,19.0,58.0,242531.0,308237.0,1.431,10.0,241.0,1,0
LN203463,Male,60,Metro,Post-Graduate,Salaried,6.5,43377.0,304485.0,24,Debt-Consolidation,17.73,15161.0,0.35,668.0,0.378,1,6,0,,69.0,56465.0,133488.0,0.256,9.0,1892.0,0,0
LN203955,Female,59,Metro,Graduate,Salaried,4.2,79439.0,870205.0,48,Debt-Consolidation,18.97,26005.0,0.327,544.0,0.486,9,5,1,27.0,112.0,79187.0,908815.0,0.953,10.0,5057.0,1,0
LN201217,Male,48,Tier-2,Diploma,Salaried,12.0,46684.0,336293.0,36,Debt-Consolidation,13.65,11437.0,0.245,681.0,0.4,2,2,0,,73.0,97554.0,304226.0,0.543,17.0,1556.0,0,0
LN204639,Male,35,Tier-2,Post-Graduate,Contract,2.6,37244.0,284885.0,36,Vehicle,17.64,10248.0,0.275,636.0,0.559,3,2,3,23.0,41.0,30289.0,285345.0,0.638,5.0,2302.0,0,1
LN208156,Female,42,Tier-2,Graduate,Salaried,5.4,23085.0,305531.0,60,Debt-Consolidation,19.44,8000.0,0.347,672.0,0.72,1,5,2,17.0,123.0,106933.0,370449.0,1.337,6.0,578.0,1,0
LN202054,Male,41,Tier-2,Graduate,Salaried,7.3,35757.0,338464.0,36,Education,19.38,12472.0,0.349,597.0,0.625,5,4,3,41.0,111.0,187473.0,439249.0,1.024,7.0,3218.0,2,1
LN210162,Male,43,Metro,Graduate,Salaried,2.8,79678.0,678063.0,24,Education,19.3,34279.0,0.43,549.0,0.546,3,2,1,41.0,70.0,238385.0,862138.0,0.902,7.0,5102.0,1,1
LN207172,Female,60,Tier-2,High-School,Salaried,6.6,22051.0,147992.0,48,Business,16.47,4230.0,0.192,607.0,0.39,2,0,0,,104.0,218243.0,335615.0,1.268,13.0,1508.0,0,0
LN205636,Male,45,Metro,High-School,Salaried,4.9,30856.0,393259.0,60,Debt-Consolidation,19.41,10290.0,0.333,587.0,0.408,4,3,1,19.0,59.0,48521.0,257268.0,0.695,10.0,1650.0,0,0
LN211674,Male,45,Tier-2,,Salaried,3.9,30613.0,68140.0,36,Debt-Consolidation,17.86,2459.0,0.08,565.0,0.537,4,2,0,,86.0,155624.0,179695.0,0.489,8.0,686.0,0,0
LN200724,Male,48,Metro,Graduate,Gig-Worker,1.4,30714.0,167061.0,24,Home-Improvement,17.01,8261.0,0.269,644.0,0.599,3,2,0,,92.0,278265.0,334617.0,0.908,10.0,1940.0,0,0
LN203853,Male,58,Tier-2,Graduate,Self-Employed,1.6,69483.0,245407.0,36,Medical,17.49,8809.0,0.127,594.0,0.574,2,6,1,15.0,41.0,266261.0,374546.0,0.449,3.0,4952.0,0,0
LN206338,Male,47,Tier-2,High-School,Gig-Worker,8.1,11292.0,89211.0,24,Debt-Consolidation,20.95,4582.0,0.406,613.0,0.309,7,3,3,20.0,68.0,223891.0,256987.0,1.897,10.0,596.0,0,1
LN201662,Female,74,Tier-3,Graduate,Self-Employed,1.0,56644.0,309369.0,12,Home-Improvement,23.19,29133.0,0.514,519.0,0.701,1,8,0,,158.0,228669.0,395582.0,0.582,0.0,4391.0,0,0
LN203045,Female,58,Metro,Diploma,Salaried,1.1,47419.0,278936.0,48,Debt-Consolidation,14.28,7662.0,0.162,718.0,0.362,4,1,0,,68.0,43039.0,256522.0,0.451,13.0,2288.0,0,0
LN209051,Female,48,Tier-3,Post-Graduate,Contract,1.5,27866.0,50308.0,24,Education,19.29,2543.0,0.091,704.0,0.605,3,0,2,6.0,58.0,36982.0,79945.0,0.239,10.0,1760.0,0,0
LN201643,Male,43,Rural,Graduate,Salaried,1.2,17968.0,63998.0,48,Medical,18.69,1903.0,0.106,685.0,0.46,3,2,1,14.0,86.0,256328.0,313288.0,1.453,7.0,498.0,0,0
LN211306,Male,52,Tier-2,Graduate,Contract,1.9,42205.0,80350.0,24,Business,16.21,3942.0,0.093,735.0,0.344,2,1,0,,60.0,28382.0,66787.0,0.132,18.0,851.0,1,0
LN211516,Female,57,Metro,Post-Graduate,Contract,3.2,64085.0,417924.0,60,Home-Improvement,21.74,11481.0,0.179,592.0,0.433,2,3,1,10.0,110.0,211534.0,331115.0,0.431,15.0,1158.0,1,1
LN204250,Male,44,Metro,Graduate,Salaried,23.2,47880.0,317678.0,24,Medical,16.09,15568.0,0.325,639.0,0.453,5,5,0,,130.0,64993.0,302000.0,0.526,10.0,1787.0,2,1
LN208628,Male,49,Metro,Diploma,Gig-Worker,0.3,24022.0,90329.0,12,Medical,19.38,8341.0,0.347,675.0,0.655,5,2,0,,50.0,110420.0,162745.0,0.565,7.0,248.0,0,0
LN208408,Female,59,Rural,Graduate,Gig-Worker,2.0,15542.0,121178.0,36,Home-Improvement,16.07,4264.0,0.274,689.0,0.592,5,3,0,,98.0,160915.0,197068.0,1.057,9.0,316.0,0,0
LN203488,Male,67,Metro,Post-Graduate,Salaried,0.6,92386.0,225231.0,36,Business,18.29,8175.0,0.088,646.0,0.36,1,2,2,19.0,154.0,111023.0,260198.0,0.235,12.0,1763.0,0,0
LN204060,Female,42,Tier-3,Diploma,Contract,0.2,11082.0,25000.0,12,Education,17.93,2291.0,0.207,551.0,0.705,5,2,2,24.0,54.0,197935.0,218336.0,1.642,8.0,150.0,0,0
LN208531,Male,44,Metro,Graduate,Self-Employed,5.9,83883.0,267758.0,36,Home-Improvement,17.7,9640.0,0.115,674.0,0.539,1,2,2,25.0,42.0,157446.0,324087.0,0.322,15.0,5253.0,1,0
LN201393,Male,47,Metro,Graduate,Contract,1.2,35736.0,123621.0,36,Business,17.04,4410.0,0.123,676.0,0.541,2,3,1,19.0,102.0,109267.0,188082.0,0.439,9.0,390.0,0,0
LN203526,Male,39,Metro,Graduate,Self-Employed,0.0,62880.0,324271.0,36,Medical,17.87,11702.0,0.186,692.0,0.362,1,3,2,19.0,39.0,185060.0,280442.0,0.372,9.0,5469.0,0,0
LN211646,Female,37,Metro,Diploma,Contract,2.1,35059.0,269137.0,24,Vehicle,16.7,13268.0,0.378,702.0,0.01,10,0,1,18.0,106.0,4308.0,193045.0,0.459,22.0,2033.0,0,0
LN208756,Male,39,Metro,,Salaried,3.1,48418.0,234759.0,24,Vehicle,18.45,11771.0,0.243,671.0,0.579,3,2,2,29.0,156.0,301168.0,479089.0,0.825,9.0,3664.0,1,0
LN211161,Female,62,Tier-3,Graduate,Contract,4.0,23742.0,52436.0,12,Debt-Consolidation,16.52,4770.0,0.201,681.0,0.564,1,1,1,25.0,66.0,72848.0,93477.0,0.328,6.0,1153.0,1,0
LN203316,Female,38,Tier-3,Diploma,Self-Employed,3.6,22626.0,141753.0,24,Education,12.95,6736.0,0.298,735.0,0.419,3,0,0,,71.0,89095.0,175275.0,0.646,13.0,1504.0,0,0
LN203706,Male,53,Rural,Post-Graduate,Salaried,13.9,19515.0,48305.0,24,Home-Improvement,19.56,2448.0,0.125,708.0,0.553,3,3,1,31.0,70.0,319007.0,359545.0,1.535,12.0,1134.0,0,0
LN201368,Male,43,Metro,Diploma,Salaried,0.7,45576.0,225216.0,36,Education,19.47,8309.0,0.182,626.0,0.753,4,5,1,11.0,29.0,121531.0,332820.0,0.609,3.0,2305.0,1,0
LN210304,Female,66,Metro,Diploma,Self-Employed,2.2,73831.0,570035.0,24,Education,16.3,27992.0,0.379,650.0,0.498,7,1,2,12.0,129.0,99867.0,642816.0,0.726,12.0,3402.0,0,1
LN203412,Male,64,Tier-3,Post-Graduate,Salaried,1.2,66464.0,452095.0,36,Debt-Consolidation,17.83,16306.0,0.245,555.0,0.748,5,2,1,12.0,64.0,255167.0,441681.0,0.554,11.0,5309.0,1,1
LN209353,Female,49,Tier-2,Post-Graduate,Salaried,18.1,52266.0,316018.0,24,Education,19.53,16012.0,0.306,609.0,0.72,1,2,4,41.0,88.0,282420.0,593806.0,0.947,9.0,4294.0,2,0
LN205707,Female,41,Tier-2,Diploma,Self-Employed,1.7,54540.0,204054.0,12,Debt-Consolidation,21.28,19028.0,0.349,525.0,0.808,1,1,1,23.0,52.0,335688.0,463574.0,0.708,4.0,3850.0,0,1
LN200970,Male,40,Tier-2,Post-Graduate,Gig-Worker,1.2,29799.0,280040.0,36,Home-Improvement,17.95,10117.0,0.34,693.0,0.381,4,0,1,12.0,44.0,33445.0,276542.0,0.773,10.0,1346.0,1,1
LN205981,Male,32,Metro,Diploma,Salaried,13.2,27091.0,213197.0,24,Debt-Consolidation,17.14,10555.0,0.39,674.0,0.268,7,0,0,,104.0,135627.0,195415.0,0.601,8.0,484.0,2,0
LN204832,Female,47,Metro,Diploma,Self-Employed,5.1,52771.0,458979.0,24,Debt-Consolidation,18.48,23021.0,0.436,701.0,0.402,4,0,2,9.0,150.0,250583.0,482886.0,0.763,5.0,3112.0,0,0
LN207711,Female,62,Tier-2,Graduate,Gig-Worker,13.3,30646.0,232225.0,36,Debt-Consolidation,18.49,8453.0,0.276,567.0,0.608,1,0,1,16.0,107.0,169872.0,340592.0,0.926,6.0,1374.0,2,1
LN209120,Female,60,Tier-3,Diploma,Gig-Worker,4.2,15161.0,68528.0,12,Debt-Consolidation,15.15,6190.0,0.408,736.0,0.217,5,3,0,,88.0,118359.0,160884.0,0.884,10.0,1255.0,0,0
LN202802,Male,46,Metro,Graduate,Salaried,1.9,69773.0,452255.0,24,Education,14.4,21800.0,0.312,624.0,0.484,8,3,0,,135.0,362730.0,816893.0,0.976,11.0,3145.0,0,0
LN202227,Male,38,Rural,Graduate,Self-Employed,5.6,28279.0,401404.0,60,Debt-Consolidation,21.36,10941.0,0.387,675.0,0.476,4,1,2,3.0,107.0,163264.0,329946.0,0.972,6.0,2361.0,0,0
LN210967,Female,42,Tier-2,High-School,Salaried,2.4,20376.0,64391.0,60,Medical,14.47,1514.0,0.074,691.0,0.429,5,1,0,,57.0,179087.0,229934.0,0.94,15.0,508.0,0,0
LN200360,Female,44,Tier-2,Diploma,Salaried,0.9,14807.0,59988.0,12,Home-Improvement,19.82,5552.0,0.375,,0.887,1,6,2,25.0,45.0,412799.0,452205.0,2.545,1.0,233.0,4,1
LN211202,Female,49,Tier-3,High-School,Contract,2.9,9330.0,25000.0,12,Home-Improvement,16.7,2277.0,0.244,697.0,0.391,5,2,4,18.0,54.0,238282.0,250800.0,2.24,9.0,793.0,1,0
LN203107,Female,62,Tier-2,High-School,Contract,0.8,17780.0,71182.0,24,Debt-Consolidation,17.62,3541.0,0.199,608.0,0.694,3,1,1,12.0,99.0,133262.0,151375.0,0.709,10.0,1412.0,0,1
LN211024,Male,41,Metro,High-School,Self-Employed,7.1,43632.0,358341.0,24,Debt-Consolidation,14.97,17370.0,0.398,634.0,0.268,5,1,2,19.0,75.0,108696.0,331854.0,0.634,7.0,2215.0,1,0
LN208522,Female,56,Metro,Post-Graduate,Contract,0.2,74587.0,482715.0,60,Debt-Consolidation,18.39,12360.0,0.166,615.0,0.504,3,0,2,17.0,66.0,213383.0,644949.0,0.721,15.0,924.0,1,1
LN200937,Male,34,Metro,Diploma,Salaried,0.9,38550.0,292560.0,24,Debt-Consolidation,19.76,14856.0,0.385,631.0,0.498,5,1,1,10.0,42.0,209472.0,492801.0,1.065,11.0,1978.0,0,1
LN206912,Female,59,Tier-2,Post-Graduate,Self-Employed,15.3,62512.0,710384.0,48,Vehicle,19.79,21538.0,0.345,640.0,0.607,3,2,0,,92.0,289115.0,951039.0,1.268,12.0,2161.0,0,0
LN203710,Female,49,Tier-2,Graduate,Salaried,0.1,41076.0,351209.0,60,Home-Improvement,18.28,8972.0,0.218,508.0,0.849,2,1,1,25.0,57.0,57324.0,280899.0,0.57,1.0,2313.0,0,0
LN203883,Male,54,Metro,High-School,Self-Employed,6.0,33151.0,453848.0,60,Business,17.57,11419.0,0.344,737.0,0.197,3,0,1,11.0,124.0,50625.0,371105.0,0.933,13.0,369.0,0,1
LN202150,Female,50,Metro,Post-Graduate,Self-Employed,7.8,83096.0,551810.0,36,Medical,17.61,19841.0,0.239,637.0,0.66,4,2,3,18.0,65.0,306294.0,873318.0,0.876,6.0,2972.0,0,0
LN207598,Male,40,Metro,Post-Graduate,Self-Employed,0.2,66869.0,418343.0,48,Vehicle,14.87,11615.0,0.174,757.0,0.399,3,1,1,7.0,62.0,146095.0,321864.0,0.401,9.0,803.0,1,0
LN209244,Male,49,Metro,Graduate,Salaried,3.6,87557.0,215470.0,12,Vehicle,16.1,19560.0,0.223,774.0,0.24,12,1,1,6.0,92.0,81576.0,277578.0,0.264,15.0,3184.0,1,0
LN204209,Male,45,Tier-3,High-School,Salaried,0.1,12608.0,108063.0,24,Business,18.87,5440.0,0.431,660.0,0.575,0,4,2,24.0,77.0,266853.0,360280.0,2.381,9.0,1096.0,1,0
LN204710,Female,51,Rural,Diploma,Salaried,0.9,15693.0,79257.0,24,Debt-Consolidation,19.04,3997.0,0.255,688.0,0.282,8,1,0,,87.0,155429.0,187098.0,0.994,19.0,539.0,0,0
LN200668,Male,42,Metro,Diploma,Self-Employed,3.3,32940.0,68716.0,12,Business,17.02,6268.0,0.19,676.0,0.278,5,2,0,,76.0,28629.0,74962.0,0.19,10.0,2507.0,2,0
LN205676,Male,52,Tier-3,Graduate,Salaried,2.3,36150.0,249976.0,36,Debt-Consolidation,20.91,9406.0,0.26,624.0,0.701,3,0,1,4.0,137.0,166328.0,271134.0,0.625,10.0,2188.0,0,0
LN203896,Male,74,Tier-2,Diploma,Contract,4.9,37222.0,455267.0,60,Medical,16.9,11290.0,0.303,732.0,0.393,7,0,2,21.0,117.0,165006.0,642542.0,1.439,19.0,3260.0,1,0
LN205062,Male,63,Tier-2,Diploma,Gig-Worker,3.2,22120.0,150301.0,48,Debt-Consolidation,17.1,4345.0,0.196,642.0,0.561,7,1,0,,90.0,81833.0,172477.0,0.65,7.0,571.0,0,1
LN208129,Male,39,Tier-3,High-School,Self-Employed,6.2,24804.0,104453.0,48,Vehicle,16.69,2997.0,0.121,601.0,0.494,1,3,0,,43.0,261513.0,314625.0,1.057,3.0,1925.0,0,0
LN204489,Male,59,Metro,High-School,Self-Employed,0.4,65156.0,947843.0,60,Debt-Consolidation,16.78,23444.0,0.36,742.0,0.295,10,5,0,,72.0,29387.0,645175.0,0.825,9.0,1308.0,0,1
LN207746,Male,62,Metro,Graduate,Salaried,17.5,52255.0,297945.0,36,Home-Improvement,17.4,10682.0,0.204,832.0,0.244,8,3,0,,122.0,76250.0,368802.0,0.588,17.0,4235.0,0,0
LN211655,Female,55,Tier-3,Post-Graduate,Self-Employed,14.1,42643.0,167458.0,60,Education,16.51,4118.0,0.097,690.0,0.476,2,1,0,,109.0,199066.0,326100.0,0.637,5.0,1443.0,1,0
LN204789,Female,74,Tier-2,Graduate,Gig-Worker,0.7,20011.0,69207.0,24,Medical,19.24,3497.0,0.175,,0.398,5,0,0,,98.0,261748.0,285670.0,1.19,15.0,1461.0,1,0
LN208456,Female,52,Metro,High-School,Contract,11.0,15353.0,54964.0,12,Education,19.6,5081.0,0.331,584.0,0.615,2,1,0,,49.0,44603.0,60599.0,0.329,8.0,318.0,2,0
LN209427,Male,30,Tier-3,Graduate,Salaried,10.9,27423.0,275784.0,48,Business,18.82,8220.0,0.3,700.0,0.813,6,6,0,,75.0,543336.0,782815.0,2.379,7.0,671.0,0,0
LN203858,Female,51,Metro,Post-Graduate,Salaried,,44620.0,519145.0,48,Business,17.4,15088.0,0.338,667.0,0.498,6,0,0,,47.0,197295.0,499671.0,0.933,4.0,2556.0,0,0
LN211533,Female,37,Metro,Graduate,Salaried,1.5,72921.0,213316.0,60,Medical,17.51,5360.0,0.074,653.0,0.323,4,0,0,,114.0,200784.0,394944.0,0.451,17.0,1374.0,0,0
LN200379,Female,59,Metro,Graduate,Contract,2.6,47289.0,147395.0,36,Home-Improvement,20.47,5513.0,0.117,657.0,0.318,11,2,2,7.0,89.0,106131.0,188619.0,0.332,11.0,4169.0,0,0
LN200914,Female,56,Metro,Post-Graduate,Salaried,12.5,82204.0,731056.0,36,Medical,16.75,25973.0,0.316,689.0,0.371,6,0,0,,77.0,193411.0,534429.0,0.542,14.0,2734.0,0,0
LN209263,Female,42,Metro,Graduate,Contract,0.6,,263854.0,36,Education,15.34,9191.0,0.321,668.0,0.396,4,1,2,30.0,73.0,222894.0,379924.0,1.105,11.0,2136.0,0,0
LN203599,Male,51,Tier-3,High-School,Salaried,5.9,33701.0,290562.0,60,Vehicle,21.47,7938.0,0.236,573.0,0.364,5,3,0,,63.0,236965.0,319884.0,0.791,7.0,2749.0,3,1
LN204192,Male,42,Tier-2,Diploma,Self-Employed,0.1,33126.0,270538.0,24,Education,17.7,13467.0,0.407,621.0,0.858,6,2,1,11.0,61.0,395835.0,496011.0,1.248,7.0,1492.0,0,0
LN203852,Male,54,Tier-3,Graduate,Self-Employed,1.2,44556.0,418612.0,48,Business,18.07,12312.0,0.276,531.0,0.759,3,3,3,9.0,106.0,435085.0,609320.0,1.14,5.0,1169.0,1,1
LN202372,Male,48,Tier-2,Post-Graduate,Salaried,0.6,44723.0,161943.0,36,Vehicle,19.49,5976.0,0.134,586.0,0.442,3,2,1,9.0,73.0,58157.0,223319.0,0.416,3.0,2750.0,0,1
LN201197,Female,61,Metro,Graduate,Gig-Worker,0.4,44384.0,423413.0,36,Education,17.58,15218.0,0.343,647.0,0.795,4,3,1,21.0,110.0,509487.0,706387.0,1.326,4.0,1409.0,1,1
LN200135,Male,40,Metro,Graduate,Salaried,0.2,,111083.0,24,Debt-Consolidation,15.76,5426.0,0.127,702.0,0.168,3,1,0,,61.0,11125.0,91049.0,0.177,7.0,3247.0,0,0
LN208281,Female,51,Metro,Graduate,Gig-Worker,3.5,27321.0,64480.0,12,Vehicle,18.5,5927.0,0.217,698.0,0.369,9,1,2,35.0,166.0,82496.0,113592.0,0.346,14.0,474.0,1,0
LN204600,Female,47,Tier-2,Graduate,Self-Employed,24.2,26209.0,254076.0,60,Debt-Consolidation,17.46,6377.0,0.243,756.0,0.52,6,1,0,,127.0,84890.0,222683.0,0.708,11.0,994.0,0,0
LN200624,Female,49,Rural,Graduate,Salaried,3.1,25693.0,59994.0,12,Business,19.09,5531.0,0.215,,0.409,6,4,2,33.0,89.0,167539.0,191468.0,0.621,7.0,2019.0,1,0
LN205861,Male,56,Tier-2,Diploma,Salaried,1.7,54805.0,527211.0,48,Medical,17.77,15424.0,0.281,637.0,0.76,4,1,1,30.0,116.0,146613.0,458462.0,0.697,6.0,1576.0,2,0
LN211568,Male,45,Metro,High-School,Salaried,4.1,38132.0,224140.0,36,Debt-Consolidation,16.47,7932.0,0.208,636.0,0.605,1,2,1,31.0,101.0,244477.0,397300.0,0.868,8.0,2315.0,0,0
LN202727,Male,38,Tier-3,Diploma,Salaried,6.7,16667.0,70645.0,36,Debt-Consolidation,19.17,2596.0,0.156,597.0,0.581,6,2,1,28.0,44.0,400066.0,443818.0,2.219,7.0,1239.0,1,0
LN210576,Female,70,Tier-3,Graduate,Salaried,7.3,79828.0,535113.0,48,Debt-Consolidation,20.22,16346.0,0.205,,0.451,3,2,2,11.0,96.0,279334.0,830331.0,0.867,9.0,985.0,1,1
LN203794,Male,51,Metro,Graduate,Salaried,1.8,41265.0,192054.0,12,Vehicle,20.14,17804.0,0.431,609.0,0.443,4,1,0,,92.0,60151.0,123273.0,0.249,10.0,1359.0,0,0
LN201923,Male,45,Rural,High-School,Salaried,2.6,13972.0,83695.0,36,Debt-Consolidation,20.58,3135.0,0.224,581.0,0.717,4,1,1,48.0,82.0,206358.0,243544.0,1.453,9.0,227.0,0,0
LN207759,Male,40,Tier-2,Graduate,Self-Employed,16.8,45417.0,404586.0,36,Debt-Consolidation,16.86,14396.0,0.317,633.0,0.509,1,4,0,,101.0,89758.0,233456.0,0.428,2.0,1512.0,1,0
LN203264,Male,54,Metro,Diploma,Contract,2.8,36827.0,135495.0,36,Education,20.36,5060.0,0.137,582.0,0.532,4,1,0,,41.0,146802.0,198961.0,0.45,8.0,1596.0,1,0
LN209786,Male,44,Tier-3,High-School,Salaried,,23437.0,65242.0,12,Home-Improvement,17.33,5961.0,0.254,699.0,0.582,7,1,3,33.0,97.0,415259.0,472902.0,1.681,11.0,686.0,0,0
LN201983,Male,38,Metro,High-School,Salaried,12.0,30114.0,88693.0,12,Debt-Consolidation,22.71,8332.0,0.277,,0.801,2,1,2,31.0,105.0,415430.0,441971.0,1.223,5.0,1089.0,1,0
LN207562,Male,66,Tier-2,Graduate,Gig-Worker,6.6,32421.0,186329.0,24,Vehicle,17.56,9263.0,0.286,610.0,0.343,4,1,3,24.0,98.0,130542.0,300246.0,0.772,8.0,692.0,1,1
LN204202,Male,62,Metro,Post-Graduate,Self-Employed,9.0,103260.0,1130912.0,48,Business,16.68,32446.0,0.314,719.0,0.126,2,0,2,37.0,132.0,70925.0,872953.0,0.704,14.0,4588.0,1,0
LN211955,Female,51,Tier-2,Graduate,Contract,0.2,25296.0,277395.0,36,Business,17.72,9990.0,0.395,721.0,0.3,6,0,1,5.0,90.0,112798.0,330528.0,1.089,14.0,425.0,0,0
LN210992,Male,38,Tier-3,Post-Graduate,Gig-Worker,0.5,29668.0,277591.0,48,Medical,17.74,8117.0,0.274,674.0,0.306,6,1,0,,78.0,108274.0,292105.0,0.82,20.0,1642.0,0,0
LN206723,Male,34,Metro,Diploma,Salaried,13.5,33946.0,278776.0,36,Business,18.02,10081.0,0.297,536.0,0.521,4,2,2,41.0,59.0,62486.0,339099.0,0.832,8.0,1669.0,1,0
LN204960,Male,49,Metro,Graduate,Self-Employed,6.8,78752.0,651350.0,48,Vehicle,18.44,19283.0,0.245,687.0,0.537,9,2,0,,95.0,176077.0,526298.0,0.557,15.0,2819.0,0,0
LN208630,Male,47,Tier-3,Post-Graduate,Salaried,9.5,40094.0,133139.0,24,Home-Improvement,17.57,6619.0,0.165,730.0,0.37,1,0,2,21.0,46.0,181173.0,307014.0,0.638,9.0,629.0,0,0
LN211590,Male,50,Rural,Graduate,Salaried,6.5,22933.0,239437.0,36,Education,15.47,8355.0,0.364,668.0,0.463,7,2,2,17.0,75.0,179472.0,420671.0,1.529,11.0,1545.0,1,1
LN200700,Male,56,Tier-3,High-School,Salaried,0.2,26117.0,275639.0,60,Education,17.82,6972.0,0.267,569.0,0.603,1,1,2,34.0,74.0,224540.0,391927.0,1.251,11.0,979.0,1,0
LN208466,Male,60,Metro,Graduate,Salaried,10.7,54459.0,524434.0,36,Debt-Consolidation,17.61,18857.0,0.346,659.0,0.551,7,1,1,29.0,103.0,209349.0,500185.0,0.765,6.0,2001.0,0,0
LN207582,Male,62,Tier-2,Post-Graduate,Salaried,9.7,80344.0,692476.0,24,Business,18.57,34762.0,0.433,627.0,0.481,3,3,0,,65.0,147030.0,688052.0,0.714,9.0,1577.0,1,0
LN200070,Male,51,Metro,Post-Graduate,Salaried,6.0,94488.0,684691.0,36,Debt-Consolidation,16.01,24075.0,0.255,699.0,0.364,6,5,1,1.0,96.0,225343.0,529320.0,0.467,12.0,3044.0,0,0
LN205751,Male,58,Metro,Graduate,Gig-Worker,3.0,41203.0,193846.0,12,Business,16.35,17620.0,0.428,667.0,0.247,9,1,0,,92.0,205785.0,272054.0,0.55,13.0,2002.0,0,0
LN202517,Male,64,Rural,Post-Graduate,Salaried,1.8,51235.0,351098.0,48,Home-Improvement,19.82,10650.0,0.208,588.0,0.49,3,1,1,13.0,176.0,44704.0,173551.0,0.282,7.0,931.0,1,0
LN207839,Male,68,Metro,Graduate,Salaried,1.4,51406.0,125731.0,36,Vehicle,21.38,4761.0,0.093,623.0,0.157,2,2,1,49.0,79.0,90943.0,142787.0,0.231,9.0,2963.0,0,0
