customer_id,gender,age,region,tenure_months,contract_type,payment_method,internet_service,customer_segment,monthly_charges,total_charges,usage_hours,support_tickets,satisfaction_score,churn
CUST2140,Male,50.0,North,34,Two-Year,Electronic Check,DSL,Standard,72.32,2483.49,32.9,0,10.0,0
CUST1208,Male,55.0,West,72,One-Year,UPI,DSL,Basic,41.42,3129.76,57.2,2,10.0,0
CUST1292,Female,41.0,East,61,Two-Year,Credit Card,Fiber,Premium,98.52,6072.42,39.7,2,9.3,0
CUST1976,Male,44.0,South,20,Month-to-Month,UPI,DSL,Premium,97.65,1977.82,21.3,2,10.0,0
CUST1128,Male,49.0,North,5,Two-Year,Bank Transfer,DSL,Standard,67.68,338.73,8.5,6,6.7,0
CUST2001,Male,29.0,West,19,Two-Year,UPI,DSL,Premium,103.55,2015.72,31.9,2,7.8,0
CUST1732,Male,37.0,West,8,Month-to-Month,Electronic Check,DSL,Premium,80.8,654.7,19.0,1,10.0,0
CUST1968,Female,33.0,South,7,Month-to-Month,Credit Card,Fiber,Standard,81.04,591.13,45.9,6,4.9,1
CUST1918,Male,48.0,North,7,Month-to-Month,Bank Transfer,Fiber,Basic,54.13,,43.9,2,,0
CUST2061,Female,38.0,West,39,One-Year,UPI,Fiber,Basic,65.35,2492.4,45.2,1,10.0,0
CUST1174,Male,39.0,West,3,One-Year,Bank Transfer,DSL,Standard,77.84,220.25,40.0,5,5.7,0
CUST2023,Female,18.0,North,23,Month-to-Month,UPI,Fiber,Standard,91.46,1940.63,87.0,6,4.8,1
CUST1582,Male,51.0,North,25,Month-to-Month,Bank Transfer,DSL,Standard,53.99,1356.05,49.3,2,5.9,0
CUST2007,Male,48.0,South,16,Month-to-Month,,DSL,Basic,31.49,523.1,110.5,1,9.2,1
CUST1671,Female,52.0,South,72,Two-Year,Credit Card,Fiber,Basic,57.51,4250.1,100.9,4,7.9,0
CUST1888,Male,38.0,East,18,Month-to-Month,Electronic Check,DSL,Standard,59.59,1071.68,13.8,0,8.0,0
CUST2074,Female,34.0,West,64,One-Year,Bank Transfer,Fiber,Premium,107.49,7088.47,61.7,3,5.6,0
CUST2198,Male,33.0,North,45,Two-Year,UPI,DSL,Standard,53.45,2374.47,57.7,1,10.0,0
CUST1678,Male,38.0,South,6,One-Year,Electronic Check,DSL,Basic,37.74,224.39,30.7,6,4.4,1
CUST2197,Female,25.0,North,32,Two-Year,Credit Card,DSL,Premium,91.35,2803.65,17.8,2,8.3,0
CUST1371,Male,24.0,East,72,One-Year,Electronic Check,DSL,Basic,46.86,3267.77,8.4,2,10.0,1
CUST1044,Female,18.0,South,3,Month-to-Month,Electronic Check,Fiber,Standard,73.22,233.73,49.6,6,8.7,0
CUST1442,Female,47.0,South,1,Month-to-Month,Electronic Check,Fiber,Premium,101.03,101.32,62.8,4,8.7,1
CUST1578,Female,22.0,South,33,One-Year,Bank Transfer,Fiber,Premium,97.53,3212.28,37.4,2,8.7,0
CUST1270,Male,46.0,West,10,One-Year,Credit Card,Fiber,Standard,74.38,791.41,39.6,1,6.7,0
CUST1478,Female,18.0,West,18,One-Year,Electronic Check,Fiber,Basic,50.47,864.92,32.2,2,9.4,1
CUST1996,Female,31.0,North,1,Month-to-Month,Credit Card,DSL,Standard,62.11,60.44,34.5,3,5.1,1
CUST1158,Female,45.0,East,50,Month-to-Month,UPI,Fiber,Basic,46.76,2228.88,66.3,2,9.0,0
CUST1802,Female,41.0,West,72,Two-Year,Electronic Check,No Internet,Standard,42.12,,26.4,2,7.4,0
CUST1076,Male,46.0,North,15,Month-to-Month,Electronic Check,Fiber,Standard,80.67,1185.18,41.4,2,6.2,1
CUST1394,Male,31.0,West,51,Two-Year,Electronic Check,No Internet,Standard,43.8,2175.94,11.3,0,10.0,0
CUST1070,Male,34.0,West,6,Month-to-Month,Credit Card,Fiber,Premium,105.26,581.28,49.0,6,4.7,1
CUST1464,Female,54.0,West,14,Month-to-Month,Electronic Check,Fiber,Standard,81.1,1142.98,44.0,2,6.5,0
CUST1344,Female,47.0,South,9,Month-to-Month,Electronic Check,Fiber,Basic,46.99,454.64,46.6,2,9.4,1
CUST1168,Male,27.0,North,72,One-Year,Bank Transfer,Fiber,Basic,48.7,3395.63,34.5,5,6.9,0
CUST1572,Male,24.0,East,7,Month-to-Month,UPI,Fiber,Standard,92.3,612.83,,7,4.1,1
CUST1286,Male,37.0,West,8,Month-to-Month,UPI,DSL,Standard,65.38,568.63,51.9,2,8.7,0
CUST1887,Male,49.0,South,13,Month-to-Month,Electronic Check,Fiber,Basic,56.64,735.0,31.7,3,8.6,1
CUST1529,Male,43.0,South,31,One-Year,,Fiber,Basic,51.85,1667.19,40.3,2,7.5,1
CUST1435,Male,33.0,South,3,One-Year,Credit Card,DSL,Basic,18.42,55.84,14.9,1,10.0,0
CUST1023,Female,48.0,East,35,Month-to-Month,UPI,DSL,Premium,72.88,2664.68,13.2,1,9.0,0
CUST1523,Female,45.0,East,4,One-Year,Credit Card,Fiber,Basic,62.16,256.68,28.1,5,5.0,0
CUST1522,Male,62.0,East,11,Month-to-Month,UPI,DSL,Basic,33.59,324.62,27.6,2,8.3,1
CUST1123,Male,62.0,West,18,One-Year,Credit Card,DSL,Basic,30.69,542.75,24.5,2,9.6,0
CUST1043,Male,53.0,North,20,One-Year,Electronic Check,Fiber,Premium,109.04,2415.69,62.8,2,7.3,0
CUST1058,Male,55.0,South,7,Month-to-Month,UPI,Fiber,Premium,109.25,806.95,35.9,3,5.1,0
CUST1231,Male,42.0,East,15,Month-to-Month,Bank Transfer,DSL,Standard,53.81,720.18,48.3,2,6.5,0
CUST1832,Male,31.0,South,15,Month-to-Month,UPI,Fiber,Basic,52.13,794.41,91.2,0,,1
CUST1617,Male,36.0,South,11,Month-to-Month,Electronic Check,No Internet,Premium,73.78,837.37,1.7,0,8.8,0
CUST1551,Male,41.0,North,16,One-Year,Credit Card,DSL,Basic,35.77,592.77,29.9,4,7.9,0
CUST1497,Female,18.0,West,51,Month-to-Month,Bank Transfer,Fiber,Standard,75.02,3790.81,36.7,1,10.0,0
CUST2000,Male,35.0,North,18,Month-to-Month,Bank Transfer,Fiber,Standard,79.97,1354.85,43.4,4,9.1,1
CUST1233,Female,63.0,North,24,One-Year,Credit Card,DSL,Basic,45.87,1125.96,36.7,2,10.0,0
CUST1736,Male,18.0,South,20,Two-Year,Electronic Check,Fiber,Basic,49.64,1071.17,67.3,1,7.0,0
CUST1218,Female,29.0,West,9,Two-Year,Bank Transfer,DSL,Basic,32.03,281.64,29.0,2,7.4,0
CUST1333,Female,43.0,East,30,Month-to-Month,Electronic Check,DSL,Standard,73.5,2100.18,61.7,6,4.9,1
CUST1113,Female,31.0,North,1,Month-to-Month,Bank Transfer,No Internet,Premium,67.26,66.62,12.4,3,9.1,1
CUST2152,Male,25.0,North,10,Month-to-Month,Credit Card,Fiber,Premium,101.8,1025.38,30.3,1,10.0,0
CUST1812,Female,26.0,North,45,One-Year,Bank Transfer,Fiber,Basic,48.44,2148.36,35.4,2,8.6,0
CUST1051,Male,56.0,North,28,One-Year,Electronic Check,DSL,Standard,58.71,1606.49,15.7,0,8.2,0
CUST1479,Male,34.0,South,35,Month-to-Month,Credit Card,DSL,Basic,41.7,1546.97,25.8,2,8.8,0
CUST1352,Female,32.0,South,17,Two-Year,UPI,DSL,Standard,52.3,852.43,36.4,2,8.7,0
CUST1410,Female,51.0,North,6,Month-to-Month,Electronic Check,Fiber,Basic,44.18,273.82,54.3,4,6.7,0
CUST1247,Male,48.0,South,20,One-Year,Bank Transfer,DSL,Premium,78.03,1530.32,39.0,0,,0
CUST1755,Male,40.0,West,9,Month-to-Month,Bank Transfer,DSL,Basic,40.65,326.68,42.6,1,8.6,1
CUST1424,Female,57.0,South,72,Two-Year,Bank Transfer,DSL,Basic,33.95,2339.61,28.1,2,,0
CUST1420,Female,27.0,North,53,Month-to-Month,,Fiber,Basic,46.47,2528.64,48.0,4,,1
CUST1380,Female,29.0,West,67,Month-to-Month,Electronic Check,DSL,Standard,70.79,4763.27,43.4,2,8.6,0
CUST1054,Female,37.0,North,31,One-Year,Electronic Check,Fiber,Basic,53.81,1597.39,33.4,2,10.0,0
CUST1959,Female,41.0,North,57,One-Year,Bank Transfer,Fiber,Premium,103.6,6798.85,56.1,0,7.1,0
CUST1722,Male,38.0,South,18,Month-to-Month,Bank Transfer,Fiber,Standard,69.46,1318.44,41.7,4,5.6,0
CUST1873,Male,24.0,West,7,One-Year,Electronic Check,DSL,Basic,41.32,322.68,17.8,6,6.5,1
CUST1056,Male,45.0,East,11,One-Year,Electronic Check,DSL,Basic,43.72,468.85,23.5,1,10.0,0
CUST1086,Female,48.0,South,27,One-Year,Credit Card,Fiber,Standard,78.33,2100.03,26.2,2,5.6,0
CUST1652,Female,24.0,South,33,One-Year,Electronic Check,DSL,Standard,54.61,1846.76,56.2,0,8.4,0
CUST1830,Female,19.0,North,26,Month-to-Month,Electronic Check,Fiber,Standard,73.76,1840.31,77.9,2,7.7,0
CUST1358,Male,31.0,East,29,One-Year,,Fiber,Standard,75.37,2195.06,76.9,3,8.0,0
CUST2168,Female,63.0,South,55,Two-Year,Electronic Check,DSL,Standard,67.66,3854.02,51.7,3,7.8,0
CUST1184,Female,51.0,West,25,Month-to-Month,Credit Card,Fiber,Basic,57.64,1474.07,54.9,4,8.5,0
CUST1774,Male,29.0,North,7,One-Year,Bank Transfer,Fiber,Standard,68.99,504.33,41.2,5,5.4,1
CUST1274,Female,38.0,South,15,One-Year,UPI,No Internet,Basic,33.88,515.41,5.4,1,9.4,0
CUST1289,Male,41.0,South,60,Month-to-Month,Electronic Check,Fiber,Premium,105.15,6341.45,26.3,4,8.3,0
CUST1240,Female,36.0,North,32,One-Year,Bank Transfer,Fiber,Standard,73.7,2314.94,55.5,1,8.1,0
CUST1548,Female,49.0,South,44,Two-Year,Credit Card,DSL,Standard,57.59,2761.3,27.1,2,7.7,0
CUST1198,Male,40.0,East,24,Two-Year,Credit Card,Fiber,Standard,79.96,1723.92,38.0,6,6.6,1
CUST1594,Male,52.0,West,45,One-Year,Electronic Check,Fiber,Premium,101.45,4697.31,64.5,3,8.3,0
CUST2003,Male,53.0,North,52,Two-Year,Bank Transfer,DSL,Standard,42.88,2049.54,36.7,2,8.5,0
CUST1519,Female,36.0,West,46,One-Year,Credit Card,Fiber,Basic,60.53,2736.5,21.3,5,7.6,0
CUST1859,Female,42.0,North,16,Month-to-Month,UPI,DSL,Basic,39.86,625.94,43.4,2,9.2,0
CUST1367,Female,25.0,North,9,One-Year,Electronic Check,DSL,Basic,36.81,328.45,53.9,2,8.1,0
CUST1839,Female,28.0,East,57,Month-to-Month,Electronic Check,DSL,Premium,109.37,6157.0,36.7,2,9.8,0
CUST1737,Male,43.0,East,16,Month-to-Month,Electronic Check,DSL,Standard,69.4,1095.3,26.8,2,8.6,0
CUST2060,Female,25.0,East,6,Month-to-Month,Bank Transfer,DSL,Basic,35.83,211.57,25.3,3,9.9,0
CUST1819,Male,39.0,South,20,Month-to-Month,Credit Card,Fiber,Premium,97.56,1926.69,53.0,6,3.2,0
CUST1953,Male,63.0,West,18,Month-to-Month,Bank Transfer,DSL,Standard,57.07,1022.26,20.8,2,6.4,1
CUST2027,Male,46.0,North,6,Two-Year,Credit Card,Fiber,Basic,51.88,317.55,33.7,3,7.9,0
CUST1298,Female,26.0,South,19,Month-to-Month,Electronic Check,DSL,Basic,43.44,,21.9,0,7.5,0
CUST2084,Female,54.0,North,13,One-Year,UPI,DSL,Standard,63.25,798.3,37.1,1,9.2,0
CUST1107,Male,41.0,East,72,Two-Year,Bank Transfer,Fiber,Basic,44.59,3210.88,65.3,3,8.7,0
CUST1199,Male,48.0,South,14,Two-Year,Electronic Check,,Premium,85.05,1205.97,40.5,0,10.0,0
CUST1803,Female,50.0,East,60,One-Year,Electronic Check,No Internet,Basic,35.69,2117.98,32.5,0,10.0,0
CUST1745,Male,44.0,West,29,One-Year,UPI,Fiber,Basic,47.4,1536.81,48.6,1,7.4,0
CUST1620,Female,30.0,West,31,Month-to-Month,Electronic Check,,Premium,100.46,3057.77,56.9,6,,0
CUST1275,Male,42.0,South,6,Month-to-Month,Credit Card,Fiber,Standard,68.54,395.36,23.9,5,6.9,0
CUST2183,Male,26.0,North,55,One-Year,Bank Transfer,Fiber,Basic,63.4,3885.91,60.4,4,4.5,0
CUST1545,Male,57.0,East,16,Month-to-Month,Electronic Check,Fiber,Premium,103.34,1703.03,54.4,2,7.0,0
CUST1081,Male,39.0,South,9,Month-to-Month,,DSL,Basic,48.09,413.33,44.2,2,8.9,0
CUST1428,Male,27.0,North,55,Two-Year,Credit Card,Fiber,Standard,91.72,5300.4,42.1,3,9.7,0
CUST1858,Male,52.0,North,7,One-Year,Electronic Check,Fiber,Basic,65.14,412.99,30.8,4,8.1,1
CUST2048,Female,50.0,South,31,Month-to-Month,Electronic Check,Fiber,Standard,90.16,2992.94,55.0,4,6.3,1
CUST1986,Male,19.0,West,15,One-Year,Credit Card,DSL,Standard,60.89,829.47,16.2,3,6.6,0
CUST1542,Female,22.0,North,72,Two-Year,Electronic Check,DSL,Premium,92.31,6702.06,23.9,0,10.0,0
CUST1718,Female,48.0,East,32,Month-to-Month,UPI,Fiber,Standard,68.48,2238.09,93.2,2,8.0,1
CUST1411,Female,28.0,West,26,Two-Year,Electronic Check,Fiber,Standard,73.06,1816.55,56.3,3,6.9,0
CUST1265,Male,33.0,East,20,Two-Year,Electronic Check,DSL,Premium,84.23,1731.35,30.9,2,,0
CUST1147,Female,39.0,South,14,Month-to-Month,UPI,DSL,Basic,52.88,692.46,27.5,0,8.2,1
CUST1807,Male,68.0,North,16,Month-to-Month,Credit Card,DSL,Premium,84.92,1363.69,73.9,3,7.9,0
CUST1210,Female,32.0,West,34,Two-Year,Credit Card,Fiber,Basic,61.29,1950.89,38.4,1,8.9,0
CUST1711,Female,61.0,North,12,Month-to-Month,Bank Transfer,DSL,Premium,103.32,1197.55,75.1,1,7.9,1
CUST1904,Female,31.0,East,15,One-Year,Electronic Check,DSL,Standard,66.9,986.86,16.6,1,10.0,1
CUST1526,Female,47.0,South,22,One-Year,Credit Card,DSL,Basic,30.57,629.27,18.7,1,10.0,0
CUST1842,Female,40.0,East,56,Two-Year,UPI,DSL,Standard,65.59,3749.47,50.0,1,8.0,0
CUST1924,Male,42.0,South,70,One-Year,Bank Transfer,DSL,Basic,37.57,2561.43,13.7,2,10.0,0
CUST1425,Female,56.0,East,10,One-Year,UPI,Fiber,Basic,56.85,578.03,50.7,0,8.4,0
CUST1710,Female,28.0,North,7,Month-to-Month,Credit Card,Fiber,Basic,51.99,350.52,36.7,2,9.2,0
CUST1998,Female,22.0,North,72,One-Year,Credit Card,,Premium,95.01,6646.69,36.7,3,9.2,0
CUST2146,Female,36.0,West,14,Month-to-Month,Credit Card,Fiber,Basic,41.92,576.3,51.9,3,8.7,0
CUST2192,Female,46.0,South,35,Two-Year,Electronic Check,No Internet,Standard,53.87,1947.05,24.5,1,6.5,0
CUST1362,Male,39.0,West,32,Month-to-Month,Bank Transfer,Fiber,Standard,78.9,2751.91,46.4,4,8.6,0
CUST1936,Female,38.0,South,12,One-Year,Bank Transfer,DSL,Premium,93.97,1094.15,38.7,1,10.0,0
CUST1323,Female,58.0,East,7,Month-to-Month,UPI,DSL,Basic,51.38,350.21,11.6,4,5.7,0
CUST1644,Female,32.0,North,46,One-Year,Bank Transfer,No Internet,Standard,47.77,2065.34,13.1,1,,0
CUST1985,Female,39.0,North,5,One-Year,Bank Transfer,DSL,Standard,55.69,289.37,40.8,3,,1
CUST1135,Male,43.0,West,3,One-Year,UPI,Fiber,Basic,60.52,174.15,32.3,3,6.6,0
CUST1629,Female,41.0,South,22,Month-to-Month,Electronic Check,DSL,Standard,68.5,1558.19,58.5,0,8.1,0
CUST1843,Male,39.0,West,42,Month-to-Month,UPI,Fiber,Basic,48.46,2038.14,25.1,1,9.5,0
CUST1485,Male,31.0,North,27,Month-to-Month,UPI,Fiber,Premium,106.75,2763.46,69.1,0,10.0,1
CUST1140,Male,45.0,North,8,Month-to-Month,Electronic Check,DSL,Basic,31.55,263.99,36.1,0,,0
CUST1605,Female,39.0,East,18,One-Year,Bank Transfer,DSL,Basic,24.9,419.48,27.2,1,10.0,0
CUST1342,Female,42.0,South,18,Month-to-Month,Electronic Check,Fiber,Premium,102.73,1904.01,38.7,5,7.6,1
CUST1588,Male,36.0,West,54,Month-to-Month,Electronic Check,Fiber,Premium,107.26,6138.73,28.9,0,8.9,0
CUST1634,Male,36.0,North,25,Two-Year,Electronic Check,DSL,Premium,89.15,2261.76,10.7,2,8.1,1
CUST2137,Male,34.0,South,25,One-Year,Electronic Check,Fiber,Basic,53.05,1302.79,21.7,3,7.4,0
CUST1209,Male,26.0,East,8,Month-to-Month,Bank Transfer,Fiber,Premium,112.98,910.64,27.5,3,7.6,1
CUST1430,Female,21.0,South,7,Month-to-Month,Credit Card,DSL,Standard,65.42,452.72,60.1,2,6.6,1
CUST1467,Female,24.0,North,60,One-Year,Bank Transfer,DSL,Standard,62.15,3763.43,28.0,2,9.8,0
CUST1331,Male,44.0,North,19,Month-to-Month,Bank Transfer,Fiber,Premium,87.51,1524.47,52.2,0,10.0,0
CUST1170,Male,28.0,North,23,Month-to-Month,UPI,DSL,Premium,91.68,2111.64,59.1,2,9.0,1
CUST2037,Male,36.0,South,11,Month-to-Month,Bank Transfer,DSL,Standard,64.03,749.34,31.8,0,7.7,1
CUST1590,Female,34.0,East,72,One-Year,Electronic Check,DSL,Basic,34.11,2349.38,42.8,0,10.0,0
CUST1538,Male,33.0,South,13,Month-to-Month,Bank Transfer,DSL,Standard,72.95,988.59,11.1,2,8.6,1
CUST2031,Female,37.0,East,31,One-Year,Credit Card,Fiber,Basic,59.7,2025.79,65.2,1,10.0,0
CUST1163,Male,33.0,North,3,Month-to-Month,Electronic Check,Fiber,Standard,73.06,203.97,102.0,2,8.0,0
CUST1405,Female,39.0,North,39,Month-to-Month,Electronic Check,Fiber,Standard,75.96,3144.92,32.4,2,8.1,0
CUST1940,Male,27.0,West,40,Month-to-Month,Electronic Check,DSL,Standard,56.6,2365.34,19.4,2,9.5,0
CUST1156,Male,42.0,South,20,Month-to-Month,Electronic Check,DSL,Standard,60.33,1198.82,58.3,0,9.7,0
CUST1314,Male,28.0,West,19,Two-Year,Credit Card,Fiber,Standard,72.51,,67.9,1,9.0,0
CUST1433,Female,60.0,East,22,Two-Year,Credit Card,Fiber,Premium,114.8,2686.33,75.1,2,6.5,0
CUST2117,Female,48.0,East,36,Month-to-Month,Bank Transfer,DSL,Standard,54.62,1948.73,21.6,1,8.6,1
CUST1944,Male,49.0,South,18,Month-to-Month,Credit Card,DSL,Basic,45.55,754.01,52.6,0,8.7,0
CUST1875,Female,38.0,South,72,Two-Year,Bank Transfer,No Internet,Standard,49.41,3404.61,43.8,1,7.4,0
CUST1925,Male,36.0,South,12,Two-Year,Credit Card,No Internet,Basic,29.99,365.84,27.1,2,9.8,0
CUST1898,Male,56.0,North,7,Month-to-Month,UPI,DSL,Standard,57.19,,15.1,1,,1
CUST1196,Female,30.0,South,9,Month-to-Month,Bank Transfer,Fiber,Premium,100.44,894.74,40.2,6,5.4,1
CUST1192,Male,22.0,North,17,One-Year,Electronic Check,DSL,Basic,33.53,583.9,95.1,1,8.6,0
CUST1693,Male,58.0,North,14,Two-Year,Bank Transfer,Fiber,Premium,104.28,1466.71,33.0,0,10.0,0
CUST1700,Male,18.0,East,9,Two-Year,Credit Card,Fiber,Basic,47.84,439.45,35.3,8,4.4,0
CUST1429,Female,51.0,South,11,One-Year,UPI,Fiber,Basic,61.47,679.52,59.0,1,7.5,0
CUST1327,Female,59.0,South,26,Month-to-Month,UPI,Fiber,Standard,69.94,1839.84,46.0,3,7.5,0
CUST1965,Male,40.0,North,4,Month-to-Month,Bank Transfer,Fiber,Standard,67.16,251.02,44.4,1,7.4,0
CUST1243,Female,34.0,North,55,Two-Year,,Fiber,Premium,97.57,5030.34,46.6,5,5.2,0
CUST1829,Male,69.0,East,7,Month-to-Month,Electronic Check,Fiber,Standard,70.57,487.84,43.6,1,10.0,0
CUST1977,Male,45.0,West,4,Two-Year,Electronic Check,DSL,Basic,42.07,,13.1,4,7.0,1
CUST1096,Male,23.0,North,55,One-Year,Electronic Check,Fiber,Basic,55.05,2957.67,,3,6.4,0
CUST2080,Male,58.0,South,21,Month-to-Month,UPI,Fiber,Premium,95.52,1940.04,75.5,4,6.4,0
CUST1826,Female,49.0,West,6,One-Year,Electronic Check,DSL,Basic,31.32,183.12,55.5,5,5.7,0
CUST1178,Female,51.0,East,10,Month-to-Month,Bank Transfer,DSL,Basic,47.4,472.73,30.4,4,7.5,1
CUST1031,Female,53.0,East,66,One-Year,UPI,Fiber,Standard,73.71,4773.28,38.1,4,7.6,0
CUST1867,Female,41.0,West,37,One-Year,Bank Transfer,No Internet,Basic,31.52,1175.85,1.5,3,10.0,0
CUST1862,Female,22.0,South,54,Month-to-Month,Electronic Check,DSL,Basic,39.32,2114.05,23.3,1,8.0,0
CUST1447,Female,44.0,West,25,Month-to-Month,Electronic Check,Fiber,Standard,71.9,1585.76,44.6,4,8.0,0
CUST1743,Male,,North,12,Month-to-Month,Electronic Check,DSL,Basic,43.15,553.54,30.4,3,8.0,0
CUST1573,Female,41.0,West,72,Two-Year,Electronic Check,DSL,Standard,60.89,4370.55,30.8,2,9.8,0
CUST1319,Female,38.0,North,16,One-Year,Credit Card,DSL,Standard,63.49,1054.99,85.1,1,8.5,0
CUST1631,Female,49.0,West,10,Month-to-Month,Electronic Check,Fiber,Basic,60.28,639.37,25.9,3,7.9,1
CUST1310,Male,67.0,North,27,Two-Year,,Fiber,Basic,59.92,1572.8,32.8,1,9.0,0
CUST1088,Male,54.0,South,13,Month-to-Month,Bank Transfer,Fiber,Basic,46.13,587.02,64.2,3,8.2,1
CUST1834,Female,41.0,North,5,Month-to-Month,Credit Card,Fiber,Standard,80.56,393.5,48.0,4,5.6,0
CUST1917,Male,40.0,North,36,Month-to-Month,Electronic Check,,Standard,45.84,1556.19,21.9,2,6.9,0
CUST1557,Male,55.0,West,7,Month-to-Month,Electronic Check,Fiber,Basic,49.83,341.24,44.4,4,7.6,1
CUST1321,Male,48.0,South,10,Two-Year,UPI,Fiber,Basic,52.7,530.53,48.8,1,10.0,0
CUST1683,Male,64.0,East,62,One-Year,Electronic Check,Fiber,Premium,116.39,7502.57,50.2,1,7.4,0
CUST1894,Female,43.0,West,18,Month-to-Month,Electronic Check,DSL,Basic,33.75,640.44,52.4,0,8.6,0
CUST1398,Male,39.0,West,31,One-Year,Credit Card,DSL,Standard,62.16,1935.9,20.9,1,8.9,0
CUST1622,Female,57.0,South,7,Month-to-Month,Credit Card,DSL,Basic,41.58,295.37,21.1,2,8.9,0
CUST1458,Female,39.0,South,8,One-Year,Credit Card,Fiber,Standard,89.88,721.22,39.6,3,,0
CUST1451,Female,57.0,North,15,Month-to-Month,Bank Transfer,Fiber,Basic,51.39,801.33,64.9,1,8.4,0
CUST1220,Male,18.0,East,31,Two-Year,Bank Transfer,No Internet,Standard,50.44,,15.5,0,10.0,0
CUST1350,Female,30.0,North,20,Month-to-Month,Credit Card,DSL,Standard,67.5,1438.1,54.9,0,9.2,0
CUST1679,Male,18.0,East,9,Month-to-Month,Bank Transfer,No Internet,Standard,65.63,611.85,11.8,1,8.3,0
CUST1010,Male,36.0,East,15,One-Year,Bank Transfer,DSL,Standard,46.75,743.3,20.2,4,7.3,0
CUST1811,Male,56.0,South,17,One-Year,Electronic Check,DSL,Basic,33.96,544.43,20.8,0,8.7,0
CUST2122,Female,39.0,South,25,Month-to-Month,,DSL,Premium,86.18,2187.43,63.8,1,8.1,0
CUST1701,Male,37.0,North,7,Month-to-Month,Bank Transfer,DSL,Standard,62.8,458.62,32.1,0,,0
CUST1059,Male,39.0,West,17,One-Year,Electronic Check,Fiber,Premium,116.88,1907.08,62.9,2,6.8,0
CUST1695,Female,40.0,North,13,Month-to-Month,Credit Card,Fiber,Basic,42.5,564.34,46.3,2,7.2,0
CUST1063,Female,32.0,West,72,One-Year,Bank Transfer,DSL,Standard,69.96,5117.42,29.4,1,9.3,0
CUST1290,Female,43.0,North,72,Two-Year,Electronic Check,Fiber,Standard,79.8,5683.0,31.4,0,10.0,0
CUST1266,Male,55.0,South,32,Two-Year,Credit Card,DSL,Basic,47.67,1434.91,38.5,2,9.3,0
CUST1707,Female,37.0,North,26,One-Year,Credit Card,Fiber,Standard,74.61,1830.83,91.6,4,6.7,0
CUST1665,Female,44.0,West,3,Month-to-Month,Credit Card,DSL,Standard,66.25,192.51,24.3,4,7.4,1
CUST2052,Male,30.0,South,12,Month-to-Month,Electronic Check,Fiber,Basic,61.88,720.29,34.0,1,10.0,1
CUST1294,Female,39.0,South,72,Two-Year,UPI,No Internet,Basic,26.59,1900.55,24.5,1,9.5,0
CUST1244,Female,49.0,North,2,Month-to-Month,UPI,Fiber,Basic,52.13,101.84,39.7,5,8.1,1
CUST1796,Male,59.0,South,24,One-Year,Electronic Check,No Internet,Standard,52.55,1204.87,34.9,2,10.0,0
CUST1584,Female,26.0,North,10,Month-to-Month,UPI,Fiber,Standard,92.17,930.0,56.1,3,8.1,0
CUST2046,Male,59.0,North,72,One-Year,UPI,No Internet,Basic,22.06,1537.82,35.1,0,10.0,0
CUST1589,Male,56.0,North,15,One-Year,Credit Card,No Internet,Standard,38.4,569.44,17.9,3,8.1,0
CUST2128,Female,39.0,East,72,Two-Year,Bank Transfer,DSL,Premium,84.5,6210.11,23.1,1,10.0,0
CUST1946,Female,62.0,North,72,One-Year,UPI,,Standard,64.84,5012.55,39.7,1,10.0,0
